conflict_id,conflict_name,pattern_a_type,pattern_a_description,pattern_a_age_years,pattern_a_strength,pattern_b_type,pattern_b_description,pattern_b_age_years,pattern_b_strength,conflict_location,conflict_substrate,dens_proximity_km,conflict_type,conflict_duration_days,conflict_intensity,outcome,winner_strength_after,loser_fate,substrate_damage,age_advantage,strength_advantage,form_library_connection,first_documented_year,documenter,documentation_source,confidence,description,implications,notes
MC-0001,The Third Mill Contest,spatial_imprint,Spatial Imprint from Mill Creek ravine,190,0.41,ghost,Ghost from Dens boundary zone,482,0.77,shared territory,living tissue,81.4,dominance_struggle,190,0.36,pattern_b_won,0.84,absorbed,0.45,older_won,complex,equal,898,T. Vells,behavioral_tracking,0.83,Conflict between spatial_imprint and ghost in shared territory.,,
MC-0002,The Western Boundary Contest,ghost,Ghost from Old mine entrance,403,0.22,inherited_memory,Inherited Memory from Southern terraces,78,0.53,same creature body,living tissue,63.7,merger_attempt,328,0.79,pattern_a_won,0.22,absorbed,0.27,older_won,complex,pattern_b,899,T. Vells,form_analysis,0.88,Conflict between ghost and inherited_memory in same creature body.,,
MC-0003,The Eastern Ridge Contest,inherited_memory,Inherited Memory from Deep Quarry tunnels,16,0.39,ghost,Ghost from Capital Archives basement,163,0.98,shared territory,spatial region,133.3,dominance_struggle,382,0.5,pattern_b_won,0.98,persisted_weak,0.4,older_won,complex,pattern_a,924,Boundary Commission,form_analysis,0.6,Conflict between inherited_memory and ghost in shared territory.,,
MC-0004,The Archive Basement Contest,ghost,Ghost from Western boundary region,116,0.34,living_form,Living Form from Deep Quarry tunnels,328,0.35,spatial location,living tissue,159.5,territory_contest,250,0.79,merger,0.3,absorbed,0.44,older_won,complex,equal,909,T. Vells,scavenger_testimony,0.68,Conflict between ghost and living_form in spatial location.,,
MC-0005,The Western Boundary Contest,inherited_memory,Inherited Memory from Northern observation post,226,0.83,form_library_access,Form Library Access from Trapper camp ruins,219,0.34,offspring expression,behavioral repertoire,86.6,territory_contest,275,0.34,pattern_a_won,0.87,persisted_weak,0.48,no_age_effect,stronger_won,pattern_b,930,R. Voss,form_analysis,0.62,Conflict between inherited_memory and form_library_access in offspring expression.,,
MC-0006,The Archive Basement Contest,form_library_access,Form Library Access from Central processing area,90,0.58,inherited_memory,Inherited Memory from Near Third Mill site,318,0.39,spatial location,living tissue,67.6,territory_contest,393,0.99,stalemate,,,0.25,older_won,complex,pattern_a,907,R. Voss,historical_reconstruction,0.93,Conflict between form_library_access and inherited_memory in spatial location.,,
MC-0007,The Deep Tunnels Contest,inherited_memory,Inherited Memory from Capital Archives basement,446,0.61,living_form,Living Form from Trapper camp ruins,327,0.7,spatial location,structural material,60.7,merger_attempt,485,0.83,merger,0.59,absorbed,0.26,no_age_effect,no_strength_effect,equal,907,Quarry Guild Records,historical_reconstruction,0.82,Conflict between inherited_memory and living_form in spatial location.,,
MC-0008,The Mill Creek Contest,spatial_imprint,Spatial Imprint from Central processing area,173,0.65,living_form,Living Form from Western boundary region,106,0.76,spatial location,spatial region,152.6,catastrophic,565,0.91,pattern_a_won,0.65,weakened,0.45,older_won,complex,unknown,909,M. Tall,behavioral_tracking,0.71,Conflict between spatial_imprint and living_form in spatial location.,,
MC-0009,The Western Boundary Contest,living_form,Living Form from Mill Creek ravine,234,0.72,spatial_imprint,Spatial Imprint from Central processing area,442,0.95,shared territory,behavioral repertoire,186.3,merger_attempt,278,0.37,merger,0.84,absorbed,0.23,older_won,complex,unknown,891,Quarry Guild Records,direct_observation,0.68,Conflict between living_form and spatial_imprint in shared territory.,,
MC-0010,The Western Boundary Contest,form_library_access,Form Library Access from Mill Creek ravine,151,0.58,living_form,Living Form from Southern terraces,289,0.71,offspring expression,behavioral repertoire,150.7,catastrophic,807,0.73,stalemate,,,0.14,older_won,complex,pattern_a,895,M. Tall,historical_reconstruction,0.9,Conflict between form_library_access and living_form in offspring expression.,,
MC-0011,The Third Mill Contest,form_library_access,Form Library Access from Near Third Mill site,100,0.57,spatial_imprint,Spatial Imprint from Capital Archives basement,355,0.22,same creature body,structural material,161.5,oscillation,134,0.5,stalemate,,,0.38,older_won,complex,pattern_a,924,C. Vells,historical_reconstruction,0.87,Conflict between form_library_access and spatial_imprint in same creature body.,,
MC-0012,The Old Survey Camp Contest,form_library_access,Form Library Access from Capital Archives basement,9,0.92,spatial_imprint,Spatial Imprint from Trapper camp ruins,284,0.51,collective identity,behavioral repertoire,42.4,territory_contest,126,0.98,stalemate,,,0.41,older_won,complex,pattern_a,915,T. Vells,behavioral_tracking,0.79,Conflict between form_library_access and spatial_imprint in collective identity.,,
MC-0013,The Old Survey Camp Contest,living_form,Living Form from Central processing area,296,0.71,spatial_imprint,Spatial Imprint from Mill Creek ravine,425,0.51,collective identity,collective memory,150.4,territory_contest,940,0.85,stalemate,,,0.14,no_age_effect,stronger_won,pattern_b,909,S. Moll,form_analysis,0.68,Conflict between living_form and spatial_imprint in collective identity.,,
MC-0014,The Trapper's Rest Contest,form_library_access,Form Library Access from Trapper camp ruins,258,0.73,inherited_memory,Inherited Memory from Mill Creek ravine,433,0.99,same creature body,spatial region,128.8,peaceful_coexistence,933,0.51,merger,0.91,absorbed,0.01,older_won,complex,pattern_a,891,Quarry Guild Records,scavenger_testimony,0.6,Conflict between form_library_access and inherited_memory in same creature body.,,
MC-0015,The Eastern Ridge Contest,inherited_memory,Inherited Memory from Deep Quarry tunnels,307,0.23,living_form,Living Form from Deep Quarry tunnels,56,0.96,same creature body,spatial region,70.6,catastrophic,29,0.29,pattern_a_won,0.23,displaced,0.39,older_won,complex,pattern_a,904,Boundary Commission,behavioral_tracking,0.6,Conflict between inherited_memory and living_form in same creature body.,,
MC-0016,The Trapper's Rest Contest,spatial_imprint,Spatial Imprint from Trapper camp ruins,426,0.73,collective_pattern,Collective Pattern from Central processing area,246,0.36,collective identity,behavioral repertoire,159.1,merger_attempt,47,0.86,merger,0.59,absorbed,0.12,older_won,complex,pattern_a,903,S. Moll,direct_observation,0.95,Conflict between spatial_imprint and collective_pattern in collective identity.,,
MC-0017,The Boundary Marker Seven Contest,form_library_access,Form Library Access from Northern observation post,53,0.21,ghost,Ghost from Northern observation post,205,0.43,offspring expression,living tissue,154.6,dominance_struggle,869,0.45,pattern_b_won,0.46,erased,0.16,older_won,complex,pattern_a,897,Quarry Guild Records,scavenger_testimony,0.95,Conflict between form_library_access and ghost in offspring expression.,,
