expedition_id,year,territory,protocol_type,crew_leader,crew_size,duration_days,actual_duration,outcome,casualties,discoveries,protocol_compliance,override_events
EXP-860-001,860,yeller_quarry_q4,pre_protocol,Sira Kellith,7,12,14,success,0,0,,
EXP-860-002,860,yeller_quarry_q7,pre_protocol,Doss Wern,8,9,12,partial,0,1,,
EXP-860-003,860,yeller_quarry_q2,pre_protocol,Orra Venn,11,11,12,success,0,0,,
EXP-860-004,860,yeller_quarry_q3,pre_protocol,Urra Penn,12,9,12,partial,1,0,,
EXP-860-005,860,dens_approach,pre_protocol,Issa Kern,7,26,30,disaster,2,0,,
EXP-860-006,860,yeller_quarry_q7,pre_protocol,Winn Tarn,6,13,14,success,0,3,,
EXP-860-007,860,boundary_ne4,pre_protocol,Penn Kellor,9,18,19,failure,1,0,,
EXP-860-008,860,other_survey,pre_protocol,Karr Voss,7,8,9,success,0,0,,
EXP-861-001,861,yeller_quarry_q2,pre_protocol,Dara Vorn,5,12,15,failure,1,0,,
EXP-861-002,861,yeller_quarry_q2,pre_protocol,Senn Drusk,6,14,12,success,0,2,,
EXP-861-003,861,capital_approach,pre_protocol,Carn Mellith,11,10,8,success,0,0,,
EXP-861-004,861,yeller_quarry_q4,pre_protocol,Sira Kellith,12,14,12,partial,1,0,,
EXP-861-005,861,yeller_quarry_q2,pre_protocol,Wren Torvas,5,10,13,disaster,2,0,,
EXP-861-006,861,yeller_quarry_q5,pre_protocol,Alden Kross,8,9,10,success,0,0,,
EXP-861-007,861,dead_river_remote,pre_protocol,Goss Prell,6,20,21,partial,1,0,,
EXP-861-008,861,yeller_quarry_q1,pre_protocol,Tarn Vosh,5,13,10,success,0,1,,
EXP-862-001,862,yeller_quarry_q5,pre_protocol,Finn Tarn,9,14,14,success,0,0,,
EXP-862-002,862,boundary_ne4,pre_protocol,Dara Vorn,5,16,18,failure,1,0,,
EXP-862-003,862,boundary_ne4,pre_protocol,Doss Wern,11,18,18,success,0,3,,
EXP-862-004,862,other_survey,pre_protocol,Erren Poss,12,9,11,partial,0,0,,
EXP-862-005,862,yeller_quarry_q1,pre_protocol,Jorn Pell,12,9,10,failure,0,0,,
EXP-862-006,862,yeller_quarry_q6,pre_protocol,Jenn Moss,11,8,5,success,0,0,,
EXP-862-007,862,yeller_quarry_q4,pre_protocol,Carn Mellith,10,11,9,success,0,1,,
EXP-862-008,862,yeller_quarry_q8,pre_protocol,Orra Venn,6,17,14,success,0,1,,
EXP-862-009,862,yeller_quarry_q5,pre_protocol,Renn Hollith,6,10,12,partial,1,0,,
EXP-862-010,862,dead_river_eastern,pre_protocol,Erren Poss,9,12,17,failure,0,0,,
EXP-863-001,863,yeller_quarry_q2,pre_protocol,Harv Noll,10,10,11,success,0,0,,
EXP-863-002,863,dens_approach,pre_protocol,Senn Drusk,11,14,17,failure,0,0,,
EXP-863-003,863,yeller_quarry_q2,pre_protocol,Winn Tarn,5,8,6,success,0,0,,
