session_id,date,year,intensity,dominant_faction,attendance,duration_hours,special_topic,tension_score,outcome_summary
SS-001,1840-01-15,1840,routine,traditionalist,18,3,,0.2,Standard business completed
SS-002,1840-02-12,1840,routine,traditionalist,17,3,,0.1,Survey protocol discussed
SS-003,1840-03-15,1840,heightened,traditionalist,20,4,Boundary Survey Protocol,0.3,Protocol approved
SS-004,1840-04-10,1840,routine,traditionalist,16,3,,0.2,Budget review
SS-005,1840-05-18,1840,routine,interventionist,18,3,,0.2,Moat proposal introduced
SS-006,1840-06-22,1840,heightened,interventionist,21,5,Moat Engineering Appropriation,0.4,First moat funding approved
SS-007,1840-07-14,1840,routine,traditionalist,15,3,,0.1,Summer session
SS-008,1840-08-20,1840,routine,traditionalist,17,3,,0.2,Surveyor reports reviewed
SS-009,1840-09-10,1840,routine,traditionalist,19,4,Survey Office Funding,0.2,Survey Office established
SS-010,1840-10-15,1840,routine,traditionalist,16,3,,0.2,Fall business
SS-011,1840-11-12,1840,routine,traditionalist,18,3,,0.1,Year-end planning
SS-012,1840-12-18,1840,routine,traditionalist,14,2,,0.1,Recess preparation
SS-013,1841-01-20,1841,routine,traditionalist,17,3,,0.2,New year opening
SS-014,1841-02-18,1841,heightened,interventionist,20,4,Moat Extension,0.3,Extension authorized
SS-015,1841-03-15,1841,routine,traditionalist,18,3,,0.2,Survey results presented
SS-016,1841-04-22,1841,routine,traditionalist,16,3,,0.2,Spring business
SS-017,1841-05-25,1841,routine,traditionalist,19,3,Surveyor Training,0.2,Training standards set
SS-018,1841-06-18,1841,routine,interventionist,17,3,,0.2,Construction updates
SS-019,1841-07-20,1841,routine,traditionalist,14,2,,0.1,Summer recess
SS-020,1841-08-30,1841,heightened,interventionist,20,4,Emergency Response Protocol,0.3,Protocol established
SS-021,1841-09-15,1841,routine,traditionalist,18,3,,0.2,Fall session
SS-022,1841-10-22,1841,routine,traditionalist,17,3,,0.2,Budget planning
SS-023,1841-11-18,1841,routine,traditionalist,16,3,,0.1,Year-end review
SS-024,1841-12-20,1841,routine,traditionalist,13,2,,0.1,Recess
SS-025,1842-01-12,1842,heightened,interventionist,19,4,Second Moat Appropriation,0.4,Funding continued
SS-026,1842-02-18,1842,routine,traditionalist,17,3,,0.2,Winter session
SS-027,1842-03-22,1842,routine,reformist,18,3,,0.3,Research proposal introduced
SS-028,1842-04-20,1842,heightened,reformist,20,4,Boundary Research Initiative,0.4,Research funding approved
SS-029,1842-05-25,1842,routine,traditionalist,16,3,,0.2,Spring business
SS-030,1842-06-18,1842,routine,interventionist,17,3,,0.2,Construction progress
SS-031,1842-07-15,1842,routine,traditionalist,19,3,Equipment Upgrade,0.2,Equipment approved
SS-032,1842-08-22,1842,routine,traditionalist,15,3,,0.2,Summer session
SS-033,1842-09-18,1842,routine,traditionalist,18,3,,0.2,Fall opening
SS-034,1842-10-28,1842,heightened,interventionist,20,4,Moat Maintenance Authority,0.3,Authority created
SS-035,1842-11-20,1842,routine,traditionalist,17,3,,0.2,Year-end planning
SS-036,1842-12-15,1842,routine,traditionalist,14,2,,0.1,Recess
SS-037,1843-02-05,1843,routine,traditionalist,18,3,Annual Survey Requirement,0.2,Requirement established
SS-038,1843-03-15,1843,routine,traditionalist,17,3,,0.2,Survey reports
SS-039,1843-04-22,1843,routine,interventionist,18,3,,0.3,Moat update
SS-040,1843-05-18,1843,heightened,interventionist,21,5,Third Moat Appropriation,0.4,Major funding approved
SS-041,1843-06-20,1843,routine,traditionalist,16,3,,0.2,Summer session
SS-042,1843-07-18,1843,routine,traditionalist,14,2,,0.1,Recess
SS-043,1843-08-22,1843,routine,traditionalist,19,3,Incident Classification,0.2,System approved
SS-044,1843-09-20,1843,routine,interventionist,18,3,,0.3,SW concerns raised
SS-045,1843-10-25,1843,routine,interventionist,17,3,,0.3,SW discussion
SS-046,1843-11-30,1843,heightened,interventionist,20,4,SW Sector Priority,0.4,Priority declared
SS-047,1843-12-18,1843,routine,traditionalist,15,2,,0.2,Year-end
SS-048,1844-01-22,1844,routine,interventionist,18,3,,0.3,New year opening
SS-049,1844-02-20,1844,routine,reformist,17,3,,0.3,Surveyor health discussed
SS-050,1844-03-10,1844,heightened,reformist,19,4,Surveyor Mental Health,0.4,Support approved
SS-051,1844-04-18,1844,routine,traditionalist,16,3,,0.2,Spring session
SS-052,1844-05-22,1844,routine,interventionist,18,3,,0.3,Construction update
SS-053,1844-06-25,1844,heightened,interventionist,20,4,Fourth Moat Appropriation,0.4,Funding approved
SS-054,1844-07-20,1844,routine,traditionalist,14,2,,0.2,Summer recess
SS-055,1844-08-25,1844,routine,traditionalist,17,3,,0.2,Fall preparation
