case_id,case_name,entity_type,entity_id,entity_name,baseline_spatial_km,baseline_temporal_days,baseline_social,baseline_abstract,shrinkage_type,severity,shrinkage_percentage,final_spatial_km,final_temporal_days,final_social,final_abstract,primary_cause,trauma_type,dens_exposure_duration_days,onset,progression_rate,stabilization,duration_to_minimum_days,behavioral_changes,function_impact,recovery_attempted,recovery_method,recovery_outcome,recovery_duration_days,location,region,observation_year,observer,strand_classification,confidence,cross_reference,notes
HS-0001,Scholar 38 Retirement Decline,individual,,,20.3,222,56,2.5,selective_spatial,moderate,41.3,5.96,169,36,1.6,isolation,none,,gradual,rapid,continued_declining,767,temporal_myopia,moderate,False,none,not_attempted,,Ascetic village,Northo,899,K. Vorn,Type_IV_isolation,0.79,BD-0004,
HS-0002,Tessa Dens Exposure,individual,,Tessa,37.4,3148,167,3.4,selective_social,catastrophic,84.8,6.82,526,10,0.6,dens_exposure,none,752,gradual,moderate,oscillating,208,social_isolation,incapacitating,False,none,not_attempted,,Ascetic village,Northo,932,Field Observer,Type_II_dens,0.5,BD-0113,
HS-0003,Surveyor 47 Field Collapse,creature,ENT-9965,,33.0,342,20,1.5,selective_social,severe,52.2,18.93,179,3,0.9,pattern_degradation,none,,gradual,variable,continued_declining,297,present_fixation,severe,True,pattern_restoration,worsened,2398,Northern workings,Yeller Quarry,900,Kira Strand,Type_III_degradation,0.57,,
HS-0004,Healer 64 Compassion Fatigue,individual,,Healer,92.7,3558,65,2.8,selective_spatial,catastrophic,83.7,7.56,754,11,0.5,trauma,other,,sudden,rapid,stabilized_early,16,loss_of_planning,severe,True,temporal_bridging,partial_recovery,2961,Sector NE-4,Dens boundary,926,K. Vorn,Type_I_trauma,0.94,,
HS-0005,Garrett Rehabilitation Case,institution,,,482.4,22972,3778,9.4,selective_temporal,catastrophic,75.9,139.49,2214,1001,2.7,bridge_failure,none,,gradual,slow,oscillating,2105,social_isolation,severe,True,medication,stabilization_only,530,Sector SW-6,Dens boundary,930,Strand Research Group,unclassified,0.52,,
HS-0006,Healer 6 Compassion Fatigue,individual,ENT-7525,,40.3,2259,106,2.2,selective_temporal,catastrophic,81.5,8.96,167,21,0.5,boundary_dissolution,none,,gradual,intermittent,oscillating,1572,concrete_thinking,severe,True,medication,no_improvement,1630,Sector SW-6,Dens boundary,932,Strand Research Group,unclassified,0.9,,
HS-0007,Scholar 60 Retirement Decline,individual,ENT-4012,Scholar,61.5,2332,128,5.3,selective_spatial,moderate,47.2,16.25,1602,74,3.1,bridge_failure,none,,oscillating,slow,recovered,2780,social_isolation,moderate,True,horizon_expansion_exercises,full_recovery,2109,Archive vicinity,Capital,923,M. Strand,unclassified,0.69,,
HS-0008,Post-Siege Veteran 20,creature,ENT-3283,,36.0,167,18,1.4,uniform,mild,22.9,27.76,128,13,1.1,resource_depletion,none,,gradual,rapid,stabilized_late,1059,present_fixation,moderate,True,horizon_expansion_exercises,no_improvement,733,Northern approach,Tower of Mirado,903,Capital Healing Institute,unclassified,0.61,,
HS-0009,Isolation Case 20,individual,ENT-1722,,24.5,706,25,6.7,asymmetric,catastrophic,72.1,3.78,114,8,2.1,aging,none,,stepwise,slow,stabilized_late,1578,spatial_withdrawal,incapacitating,True,social_reconnection,partial_recovery,364,Siege fields,Tower of Mirado,917,P. Anster,Type_III_degradation,0.65,,
HS-0010,Garrett Rehabilitation Case,creature,ENT-4887,Garrett,37.0,258,29,1.3,selective_temporal,severe,68.9,13.82,32,9,0.5,bridge_failure,none,,sudden,intermittent,oscillating,13,present_fixation,moderate,True,relocation,no_improvement,1608,Southern perimeter,Dens boundary,893,Capital Healing Institute,unclassified,0.72,,
HS-0011,Surveyor 74 Field Collapse,individual,,,25.0,492,193,2.9,selective_temporal,catastrophic,79.4,6.17,40,43,0.7,dens_exposure,none,3644,gradual,rapid,stabilized_late,2894,temporal_myopia,incapacitating,True,relocation,partial_recovery,1122,Scholar's Quarter,Capital,925,Field Observer,Type_II_dens,0.71,,
HS-0012,Garrett Rehabilitation Case,institution,,,357.5,6509,4972,7.1,selective_spatial,moderate,43.9,100.25,4745,3067,4.4,trauma,other,,gradual,rapid,recovered,282,concrete_thinking,minimal,True,relocation,full_recovery,601,Sector SW-6,Dens boundary,903,P. Anster,Type_I_trauma,0.65,,
HS-0013,Trapper 22 Trauma Collapse,individual,,,60.5,1198,60,2.5,uniform,mild,18.1,49.57,981,49,2.0,dens_exposure,none,138,gradual,intermittent,continued_declining,2075,concrete_thinking,moderate,True,pattern_restoration,worsened,2210,Dissolution zone,Dens,900,K. Vorn,Type_II_dens,0.72,,
HS-0014,Post-Siege Veteran 99,individual,,,55.8,2703,158,7.9,selective_spatial,moderate,31.1,19.22,2421,119,6.0,isolation,none,,gradual,slow,oscillating,2163,spatial_withdrawal,moderate,True,medication,no_improvement,1777,Isolation community,Northo,900,M. Strand,Type_IV_isolation,0.77,,
HS-0015,Archivist 47 Decline,individual,ENT-4573,,63.2,3366,187,6.5,uniform,mild,23.1,48.58,2587,143,5.0,dens_exposure,none,1216,oscillating,moderate,recovered,1697,spatial_withdrawal,minimal,False,none,not_attempted,,Quarry Sector 7,Yeller Quarry,911,Capital Healing Institute,Type_II_dens,0.69,,
HS-0016,Healer 67 Compassion Fatigue,individual,ENT-1740,,48.8,875,36,3.5,uniform,catastrophic,75.3,12.04,215,8,0.9,aging,none,,gradual,rapid,stabilized_early,2456,spatial_withdrawal,severe,True,temporal_bridging,stabilization_only,1192,Dens deep,Dens,922,Capital Healing Institute,Type_III_degradation,0.57,,
HS-0017,Tessa Dens Exposure,individual,ENT-9132,Tessa,25.1,3524,177,6.0,selective_temporal,severe,69.9,9.05,423,58,2.2,isolation,none,,stepwise,variable,continued_declining,723,spatial_withdrawal,severe,False,none,not_attempted,,Siege fields,Tower of Mirado,903,P. Anster,Type_IV_isolation,0.71,,
HS-0018,Scholar 22 Retirement Decline,institution,ENT-2034,,159.2,712,2638,9.2,selective_temporal,mild,20.5,151.79,226,2305,8.8,isolation,none,,stepwise,moderate,stabilized_late,201,social_isolation,moderate,True,pattern_restoration,partial_recovery,1997,Northern workings,Yeller Quarry,892,Strand Research Group,Type_IV_isolation,0.53,,
HS-0019,Tessa Dens Exposure,individual,,,37.9,1540,74,3.1,selective_temporal,mild,14.2,39.02,528,69,3.2,dens_exposure,none,3618,gradual,variable,oscillating,1609,concrete_thinking,minimal,False,none,not_attempted,,Southern perimeter,Dens boundary,893,P. Anster,Type_II_dens,0.97,,
HS-0020,Post-Siege Veteran 44,individual,ENT-2569,Post-Siege,87.0,872,168,5.3,selective_spatial,mild,12.5,38.06,991,161,5.1,isolation,none,,oscillating,intermittent,oscillating,2886,present_fixation,minimal,True,horizon_expansion_exercises,no_improvement,2597,Quarry interior,Yeller Quarry,910,Kira Strand,Type_IV_isolation,0.68,BD-0057,
HS-0021,Post-Siege Veteran 30,individual,ENT-5131,Post-Siege,77.1,2697,8,4.0,selective_social,catastrophic,88.2,10.88,349,0,0.6,trauma,siege_exposure,,sudden,moderate,stabilized_late,12,social_isolation,severe,True,relocation,partial_recovery,421,Sector NE-4,Dens boundary,909,P. Anster,Type_I_trauma,0.51,,
HS-0022,Tessa Dens Exposure,institution,ENT-3809,,139.7,11614,849,9.6,selective_temporal,severe,51.9,80.68,2235,449,5.5,aging,none,,gradual,slow,recovered,528,social_isolation,moderate,True,relocation,full_recovery,1768,Northern workings,Yeller Quarry,916,Strand Research Group,Type_III_degradation,0.95,BD-0066,
HS-0023,Student 88 Academic Withdrawal,individual,ENT-9154,,66.2,186,134,2.6,uniform,catastrophic,83.2,11.14,31,22,0.4,aging,none,,oscillating,rapid,stabilized_early,2479,concrete_thinking,severe,False,none,not_attempted,,Veteran settlement,Tower of Mirado,897,P. Anster,Type_III_degradation,0.97,BD-0160,
HS-0024,Surveyor 43 Field Collapse,individual,ENT-8452,,5.6,3268,140,6.5,selective_social,terminal,99.2,0.05,27,0,0.1,dens_exposure,none,3611,gradual,slow,continued_declining,121,social_isolation,incapacitating,True,pattern_restoration,worsened,83,Capital outskirts,Capital,924,P. Anster,Type_II_dens,0.96,,
HS-0025,Scholar 79 Retirement Decline,individual,ENT-1969,,83.8,1341,11,5.3,selective_spatial,mild,15.1,35.56,1479,10,4.9,dens_exposure,none,3640,sudden,intermittent,stabilized_late,21,concrete_thinking,moderate,True,temporal_bridging,no_improvement,2835,Capital outskirts,Capital,899,K. Vorn,Type_II_dens,0.74,,
HS-0026,Archivist 88 Decline,individual,,Archivist,29.6,3158,91,7.3,uniform,moderate,40.8,17.52,1869,53,4.3,dens_exposure,none,572,sudden,slow,recovered,4,social_isolation,minimal,True,medication,full_recovery,2356,Sector SW-6,Dens boundary,936,Strand Research Group,Type_II_dens,0.97,BD-0015,
HS-0027,Colony 70 Collective Shrinkage,individual,ENT-6124,,45.4,2814,32,4.5,selective_spatial,moderate,30.0,15.88,2559,24,3.5,isolation,none,,gradual,variable,oscillating,468,social_isolation,minimal,True,social_reconnection,no_improvement,939,Dissolution zone,Dens,915,Kira Strand,Type_IV_isolation,0.94,,
HS-0028,Healer 27 Compassion Fatigue,federation,,,133.4,9873,694,6.0,selective_temporal,severe,63.8,57.99,1430,276,2.6,dens_exposure,none,1184,oscillating,moderate,stabilized_early,2581,present_fixation,moderate,True,temporal_bridging,stabilization_only,2607,Capital outskirts,Capital,917,Kira Strand,Type_II_dens,0.92,BD-0112,
HS-0029,Student 45 Academic Withdrawal,institution,,,254.8,18242,3854,7.6,selective_temporal,catastrophic,82.5,53.49,1276,741,1.6,dens_exposure,none,3168,oscillating,rapid,stabilized_late,270,concrete_thinking,incapacitating,True,relocation,stabilization_only,980,Archive vicinity,Capital,924,Strand Research Group,Type_II_dens,0.54,,
HS-0030,Isolation Case 47,individual,,,76.1,2345,145,4.4,selective_temporal,terminal,93.6,5.85,60,10,0.3,bridge_failure,none,,gradual,moderate,continued_declining,501,temporal_myopia,severe,True,medication,worsened,1269,Eastern fluctuation zone,Dens boundary,938,Capital Healing Institute,unclassified,0.72,,
HS-0031,Garrett Rehabilitation Case,individual,,Garrett,36.7,61,176,5.8,asymmetric,severe,55.4,10.21,11,91,1.7,boundary_dissolution,none,,sudden,moderate,continued_declining,1,temporal_myopia,severe,True,social_reconnection,no_improvement,606,Mill vicinity,Yeller Quarry,902,Kira Strand,unclassified,0.6,BD-0180,
HS-0032,Scholar 25 Retirement Decline,creature,ENT-4444,,23.3,133,21,3.9,selective_spatial,severe,50.8,5.73,85,11,2.1,trauma,creature_attack,,sudden,variable,continued_declining,6,concrete_thinking,severe,False,none,not_attempted,,Southern perimeter,Dens boundary,894,Strand Research Group,Type_I_trauma,0.63,,
HS-0033,Colony 18 Collective Shrinkage,institution,ENT-2225,,264.3,33229,4381,8.4,selective_spatial,severe,55.4,58.98,19279,2150,4.1,boundary_dissolution,none,,gradual,slow,stabilized_late,2174,concrete_thinking,moderate,True,medication,no_improvement,2919,Capital outskirts,Capital,908,P. Anster,unclassified,0.98,,
HS-0034,Trapper 33 Trauma Collapse,colony,,Trapper,13.2,4339,479,6.0,selective_social,severe,57.2,6.78,2041,81,3.1,bridge_failure,none,,gradual,variable,recovered,617,present_fixation,severe,True,temporal_bridging,full_recovery,532,Archive vicinity,Capital,939,M. Strand,unclassified,0.51,,
HS-0035,Surveyor 80 Field Collapse,individual,,,66.3,2191,194,3.7,selective_social,moderate,41.9,46.26,1401,45,2.6,boundary_dissolution,none,,oscillating,variable,stabilized_late,1323,present_fixation,moderate,True,medication,stabilization_only,1882,Southern perimeter,Dens boundary,900,Capital Healing Institute,unclassified,0.98,BD-0160,
HS-0036,Post-Siege Veteran 72,creature,,,1.7,214,40,3.9,selective_spatial,severe,52.1,0.41,133,21,2.1,boundary_dissolution,none,,stepwise,variable,stabilized_late,2710,present_fixation,severe,True,pattern_restoration,partial_recovery,1941,Dens deep,Dens,919,P. Anster,unclassified,0.82,,
HS-0037,Healer 55 Compassion Fatigue,individual,ENT-9625,,56.5,3084,200,4.2,selective_temporal,catastrophic,75.0,16.92,307,54,1.3,isolation,none,,gradual,slow,continued_declining,192,concrete_thinking,severe,True,medication,worsened,1235,Dens deep,Dens,898,M. Strand,Type_IV_isolation,0.64,,
HS-0038,Surveyor 8 Field Collapse,institution,ENT-9059,,362.9,31516,4798,9.4,selective_temporal,severe,63.2,160.23,4638,1941,4.2,trauma,loss_of_person,,sudden,slow,stabilized_early,18,social_isolation,moderate,False,none,not_attempted,,Northern approach,Tower of Mirado,929,K. Vorn,Type_I_trauma,0.95,,
HS-0039,Scholar 83 Retirement Decline,individual,,,58.3,2398,143,3.1,uniform,catastrophic,85.9,8.21,337,20,0.4,trauma,other,,gradual,rapid,continued_declining,796,spatial_withdrawal,incapacitating,True,social_reconnection,no_improvement,1252,Mill vicinity,Yeller Quarry,933,Strand Research Group,Type_I_trauma,0.54,,
HS-0040,Student 22 Academic Withdrawal,individual,,,58.3,3486,14,4.1,asymmetric,catastrophic,83.1,6.29,537,2,0.7,aging,none,,gradual,variable,continued_declining,2703,temporal_myopia,incapacitating,True,pattern_restoration,worsened,207,Capital outskirts,Capital,923,Capital Healing Institute,Type_III_degradation,0.68,,
HS-0041,Healer 20 Compassion Fatigue,individual,,Healer,32.9,1443,109,3.1,selective_social,catastrophic,76.1,9.43,379,10,0.9,trauma,loss_of_person,,gradual,rapid,recovered,349,spatial_withdrawal,incapacitating,True,relocation,full_recovery,957,Capital proper,Capital,934,P. Anster,Type_I_trauma,0.73,BD-0070,
HS-0042,Tessa Dens Exposure,individual,,,70.7,1217,153,5.3,selective_temporal,catastrophic,75.4,20.87,119,41,1.6,aging,none,,gradual,moderate,stabilized_late,189,social_isolation,incapacitating,True,social_reconnection,no_improvement,2755,Dens interior,Dens,927,K. Vorn,Type_III_degradation,0.79,,
HS-0043,Archivist 84 Decline,individual,ENT-3479,,93.2,3226,193,4.7,selective_temporal,moderate,45.2,61.3,707,116,3.1,boundary_dissolution,none,,gradual,intermittent,stabilized_late,832,spatial_withdrawal,minimal,True,temporal_bridging,stabilization_only,476,Healing Institute,Capital,891,Strand Research Group,unclassified,0.56,,
HS-0044,Tessa Dens Exposure,individual,,,86.8,1974,11,3.9,uniform,catastrophic,88.7,9.8,222,1,0.4,trauma,institutional_betrayal,,sudden,variable,stabilized_early,11,present_fixation,incapacitating,False,none,not_attempted,,Healing Institute,Capital,936,Capital Healing Institute,Type_I_trauma,0.98,,
HS-0045,Archivist 34 Decline,individual,ENT-9106,,5.6,2001,154,2.4,selective_temporal,mild,21.5,5.28,628,133,2.3,aging,none,,gradual,intermittent,oscillating,1626,spatial_withdrawal,moderate,False,none,not_attempted,,Capital outskirts,Capital,900,Kira Strand,Type_III_degradation,0.6,BD-0187,
HS-0046,Surveyor 3 Field Collapse,institution,,Surveyor,390.0,8550,2652,9.4,selective_temporal,moderate,46.9,248.68,1817,1550,6.0,dens_exposure,none,2240,gradual,intermittent,oscillating,782,loss_of_planning,minimal,True,social_reconnection,no_improvement,230,Isolation community,Northo,921,K. Vorn,Type_II_dens,0.94,,
HS-0047,Scholar 8 Retirement Decline,creature,ENT-5783,Scholar,42.7,160,16,1.0,selective_temporal,moderate,41.9,29.76,37,10,0.7,dens_exposure,none,1163,gradual,variable,stabilized_early,378,temporal_myopia,minimal,True,temporal_bridging,stabilization_only,1077,Scholar's Quarter,Capital,919,Strand Research Group,Type_II_dens,0.66,,
HS-0048,Archivist 81 Decline,creature,,Archivist,8.0,11,4,2.4,selective_spatial,severe,51.6,1.93,6,2,1.3,trauma,loss_of_person,,gradual,moderate,oscillating,1641,present_fixation,moderate,False,none,not_attempted,,Sector NE-4,Dens boundary,908,Field Observer,Type_I_trauma,0.97,,
HS-0049,Student 42 Academic Withdrawal,individual,,,42.6,1888,200,3.7,selective_temporal,moderate,30.1,35.72,527,153,3.1,dens_exposure,none,1359,oscillating,intermittent,stabilized_early,1700,loss_of_planning,moderate,True,medication,stabilization_only,2178,Scholar's Quarter,Capital,926,M. Strand,Type_II_dens,0.78,,
HS-0050,Post-Siege Veteran 8,individual,ENT-4988,Post-Siege,62.6,682,137,3.5,selective_spatial,moderate,44.0,17.52,496,84,2.2,pattern_degradation,none,,gradual,slow,recovered,226,loss_of_planning,moderate,True,social_reconnection,full_recovery,607,Capital outskirts,Capital,908,Field Observer,Type_III_degradation,0.81,,
HS-0051,Garrett Rehabilitation Case,individual,,Garrett,91.1,1033,27,3.2,selective_spatial,moderate,43.9,25.55,753,16,2.0,pattern_degradation,none,,gradual,slow,stabilized_late,2319,loss_of_planning,minimal,True,social_reconnection,no_improvement,1815,Siege fields,Tower of Mirado,892,Kira Strand,Type_III_degradation,0.95,,
HS-0052,Post-Siege Veteran 73,individual,ENT-9996,,29.6,1004,33,6.9,selective_spatial,mild,24.2,11.22,989,27,5.8,dens_exposure,none,1131,oscillating,slow,oscillating,265,concrete_thinking,moderate,True,relocation,stabilization_only,1292,Quarry Sector 7,Yeller Quarry,901,K. Vorn,Type_II_dens,0.71,,
