expedition_id,expedition_name,launch_date,return_date,origin,destination,leader,crew_size,purpose,sponsor,duration_planned_days,duration_actual_days,outcome,casualties,landmarks_observed,instruments_used,notes
EV-889-001,Yeller Quarry Survey,889-03-01,,,yeller_quarry,grigsu_haldo,12,scholarly_observation,,,,unknown,,,[],The Yeller Quarry Expedition of 889. Grigsu Haldo attached as scholarly observer. This expedition would change him fundamentally - colleagues would later describe 'distracted silences' and 'strange mutterings' upon his return.
EV-922-008,,922-06-01,,,ore_fragments,boundary_walkers,2,semantic_mapping,,,,unknown,,,[],First systematic attempt to map all narrative fragments semantically
EV-820-001,Siege of Mirado,820-03-01,,,mirado_sticks,the_colonel,1,,,,,unknown,,,[],The Colonel begins the siege as a young man. Tutorial 5 references 'Year 20 of the siege' in his journal and states 'I was a boy when this began. Now I am a grandfather.' The siege represents pursuit and interminable striving.
EV-855-014,Redmane Expedition,855-03-01,,,yeller_quarry,the_boss,1,,,,,unknown,,,[],The Boss's final expedition. Tutorial 3 mentions 'She disappeared during the Redmane Expedition.'
EV-823-002,,823-06-01,,,northern_route,archon_vells,1,,,,,unknown,,,[],Imported from HIST-006
EV-852-001,,852-06-01,,,denstone,thurmond_gast,1,,,,,unknown,,,[],Imported from SIM-015
EV-858-004,,858-06-01,,,denstone,dendra_coss,1,,,,,unknown,,,[],Imported from SIM-018
EV-859-008,First Siege March to Mirado,859-01-15,,,Mirado Desert,colonel_viragu,340,military,Senate Military Committee,,,unknown,,,[],Initial march to establish siege camp. Reinforcements failed to materialize. The Colonel's Quixotic zest has since faded.
EV-847-035,The Scavenger's Survey,847-01-15,847-03-28,,Yeller Quarry,venn_horak,3,creature_collection,Private,89,,successful,,,[],First documented encounter with Yeller by a scholarly observer. Notes fragmentary but invaluable.
EV-867-001,Second Mirado Reinforcement,867-01-15,867-02-19,,Mirado Desert,captain_threll,120,military,Senate Military Committee,34,,failed,23,,[],"Attempted to bring supplies and men to Colonel Viragu. Ambushed in the desert approach. Most supplies lost, few men reached the siege camp."
EV-871-001,Western Quarry Survey,871-01-15,871-03-22,,Yeller Quarry,hesta_vorn,28,survey,Department of Natural Inventory,67,,partial_success,4,,[],First systematic survey of western Quarry regions. Lost four men to marsh hazards. Extensive creature documentation.
EV-876-003,Fifth Expedition into the Dens Border,876-01-15,876-02-28,,Yeller Quarry,wen_torval,35,creature_collection,Department of Natural Inventory,52,,disaster,18,,[],Catastrophic losses to stakdur encounter. Wen Torval among the dead. His sister Jara barely escaped. Changed expedition protocols thereafter.
EV-863-001,Northern Route Mapping,863-01-15,863-04-19,,The North,senna_grell,12,mapping,Capital Cartographic Society,94,,successful,1,,[],Mapped previously uncharted routes from Capital to northern villages. One casualty to weather exposure.
EV-869-001,Capital Survey to Yeller Quarry,869-01-15,869-03-28,,Yeller Quarry,grigsu_haldo,24,survey,Department of Natural Inventory,78,,partial_success,2,,[],"The expedition that changed Grigsu. Violence occurred, a servant or friend died. Grigsu returned sullen and angry. Yasho and Bagbu accompanied but left fewer records."
EV-879-001,Sixth Quarry Creature Census,879-01-15,879-03-16,,Yeller Quarry,hesta_vorn,31,creature_collection,Department of Natural Inventory,61,,successful,2,,[],Systematic creature census. Encountered but avoided stakdur. Valuable specimens collected.
EV-883-001,Ninth Expedition Deep Survey,883-01-15,883-02-28,,Yeller Quarry,rella_tarn,42,survey,Department of Natural Inventory,44,,disaster,27,,[],"Deep penetration into lower marshes. Stakdur attack killed Pollux Dann, Pell Sontar, and 25 others. Only 15 returned."
