survey_id,survey_name,survey_type,region_covered,basin_ids_covered,start_year,end_year,forms_cataloged,basins_mapped,ridges_traced,geodesics_calculated,curvature_points,anomalies_found,lead_surveyor,team_size,sponsoring_institution,primary_method,innovations,success_rating,key_findings,controversies,follow_up_surveys,notes
LS-0001,First Morphospace Triangulation Survey,comprehensive,Western Archive and Yeller Quarry vicinity,"BA-001,BA-002,BA-003,BA-015",918,918,9,5,2,2,12,3,Carten Vells,1,Boundary Commission,form_triangulation,,0.85,"Demonstrated that morphospace has measurable structure. Identified The Gap, Quintic-Northern Ridge, and FL-027 isolation.",Single-surveyor methodology questioned by Archive,,Foundational survey. Dedicated to Erris Pol and Pollus Brent.
LS-0002,Binary Basin Deep Mapping,targeted_basin,Binary Basin (BA-002) and immediate neighbors,BA-002,919,920,35,1,4,8,25,2,T. Vells,3,Capital Philosophical Society,form_triangulation,,0.92,Binary Basin confirmed as deepest attractor. 35 forms documented within basin.,,,Comprehensive study of single major attractor.
LS-0003,Ridge System Survey Year 920,ridge_survey,Northern ridge system connecting BA-001 to BA-004,"BA-001,BA-004",920,920,0,0,8,0,40,1,Archive Survey Team,5,Western Archive,boundary_mapping,,0.78,Ridge system more complex than initial mapping suggested.,Ridge positions differ from Vells Year 918 survey,,First dedicated ridge-only survey.
LS-0004,Tension Basin Deep Mapping,curvature_grid,Curvature grid covering Quintic Region,"BA-042,BA-017,BA-041,BA-005",930,930,0,0,0,0,12,1,Esseny Moll,1,Capital Philosophical Society,historical_reconstruction,Introduced confidence scoring system.,0.62,Ridge position differs from Year 925 survey by 0.03 units.,Survey terminated early due to funding constraints.,,Follow-up to earlier inconclusive results.
LS-0005,Systematic Morphospace Survey,anomaly_investigation,Anomaly investigation near Binary Region,"BA-028,BA-032,BA-010,BA-027,BA-024",922,922,3,1,0,0,20,0,Esseny Moll,1,Densmok Evaluation Group,historical_reconstruction,First use of parallel transport verification.,0.65,Ridge position differs from Year 929 survey by 0.01 units.,Methodology questioned by Boundary Commission.,,Part of multi-year mapping initiative.
LS-0006,Year 921 Ridge Survey,ridge_survey,Ridge system in Quintic Region,"BA-011,BA-044,BA-030,BA-050",921,921,0,0,2,0,4,1,T. Vells,1,Independent Scholar,trajectory_analysis,Systematic grid approach adopted.,0.56,Ridge drift measured at 0.001 units per decade.,Curvature measurements inconsistent with theoretical predictions.,,Funded by Senate special appropriation.
LS-0007,Survey 0007,targeted_basin,Basin BA-014 and immediate neighbors,BA-014,926,926,11,1,4,0,7,1,Senate Survey Director,3,Senate Survey,similarity_inference,,0.6,Ridge position differs from Year 926 survey by 0.02 units.,,,Training survey for new team members.
LS-0008,Expanded Morphospace Survey,form_catalog,Form census in Binary Region,"BA-028,BA-044,BA-038",919,920,23,1,0,0,0,0,Esseny Moll,1,Boundary Commission,form_triangulation,Introduced confidence scoring system.,0.64,New geodesic path documented connecting Triad Basin to Quintic Basin.,Methodology questioned by Independent Scholar.,,Survey conducted during favorable conditions.
LS-0009,Geodesic Trace Project 918,ridge_survey,Ridge system in Deep Attractor Zone,"BA-044,BA-038,BA-011,BA-020,BA-013",918,918,0,0,18,0,43,0,Vanis Trem,5,Densmok Evaluation Group,boundary_mapping,First use of parallel transport verification.,0.81,Discovered 18 previously undocumented forms.,Curvature measurements inconsistent with theoretical predictions.,,Training survey for new team members.
LS-0010,Tension Basin Basin Study,geodesic_trace,Geodesic paths through Binary Region,BA-039,919,919,4,0,1,9,8,0,Independent Scholar,2,Capital Philosophical Society,trajectory_analysis,,0.65,Form stability higher than predicted in this region.,Curvature measurements inconsistent with theoretical predictions.,,Used improved instrumentation from Year 923.
