measurement_id,memory_type,entity_reference,ghost_id,initial_strength,final_strength,measurement_duration_days,decay_rate_per_year,half_life_years,dens_proximity_km,population_density,reinforcement_present,environmental_stability,decay_accelerators,decay_inhibitors,prime_day_correlation,memory_age_years,age_decay_correlation,measurement_year,measurer,measurement_method,confidence,notes
MD-0001,ghost_pattern,,,0.32,0.197,974,0.166,4.2,84.8,moderate,False,0.52,no_reinforcement,,True,76,older_slower,928,Independent Observer,periodic_observation,0.94,
MD-0002,behavioral_echo,Entity 182,,0.416,0.41,181,0.0289,24.0,158.8,sparse,False,0.57,"isolation,no_reinforcement",,True,51,older_slower,931,Archive Survey Team,behavioral_analysis,0.54,
MD-0003,form_access,,,0.634,0.469,745,0.1371,5.1,31.7,very_dense,False,0.5,"dens_proximity,environmental_disruption,no_reinforcement",,False,54,complex,929,Archive Survey Team,periodic_observation,0.67,
MD-0004,behavioral_echo,Entity 785,,0.498,0.381,641,0.1412,4.9,152.8,sparse,True,0.46,"isolation,environmental_disruption",population_reinforcement,False,100,older_faster,927,S. Moll,continuous_tracking,0.9,
MD-0005,form_access,Entity 292,,0.301,0.294,109,0.0821,8.4,153.8,moderate,True,0.6,,"population_reinforcement,pattern_antiquity",True,165,older_slower,922,Quarry Guild Records,periodic_observation,0.65,
MD-0006,substrate_trace,,,0.875,0.858,197,0.0361,19.2,36.8,sparse,True,0.51,"dens_proximity,isolation","strong_initial_pattern,population_reinforcement,pattern_antiquity",True,101,complex,930,M. Tall,form_comparison,0.81,
MD-0007,ghost_pattern,Entity 769,,0.523,0.392,423,0.221,3.1,131.5,dense,False,0.21,"environmental_disruption,no_reinforcement",pattern_antiquity,False,175,no_correlation,930,S. Moll,form_comparison,0.69,
MD-0008,substrate_trace,Entity 283,,0.651,0.472,894,0.123,5.6,127.2,very_dense,False,0.93,no_reinforcement,"stable_environment,pattern_antiquity",False,136,no_correlation,926,Quarry Guild Records,periodic_observation,0.57,
MD-0009,behavioral_echo,Entity 151,,0.73,0.719,70,0.0753,9.2,189.7,very_dense,True,0.61,,"strong_initial_pattern,population_reinforcement",False,31,complex,928,Independent Observer,form_comparison,0.69,
MD-0010,substrate_trace,,,0.55,0.459,640,0.0977,7.1,59.9,isolated,False,0.34,"isolation,environmental_disruption,no_reinforcement",,False,28,no_correlation,924,Archive Survey Team,continuous_tracking,0.54,
MD-0011,ghost_pattern,,GO-0084,0.492,0.144,279,0.8,0.9,26.1,sparse,False,0.54,"dens_proximity,isolation,no_reinforcement",pattern_antiquity,False,187,complex,920,C. Vells,periodic_observation,0.67,
MD-0012,substrate_trace,,,0.965,0.249,934,0.4107,1.7,16.7,moderate,False,0.22,"dens_proximity,environmental_disruption,no_reinforcement",strong_initial_pattern,False,20,complex,927,Boundary Commission,form_comparison,0.78,
MD-0013,collective_memory,,,0.701,0.522,987,0.1034,6.7,171.0,sparse,False,0.24,"isolation,environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,111,no_correlation,922,K. Strand,periodic_observation,0.77,
MD-0014,form_access,Entity 326,,0.847,0.741,503,0.0926,7.5,136.0,moderate,True,0.37,environmental_disruption,"strong_initial_pattern,population_reinforcement,pattern_antiquity",False,153,complex,929,Independent Observer,continuous_tracking,0.53,
MD-0015,behavioral_echo,Entity 427,,0.744,0.621,982,0.0649,10.7,145.9,very_dense,False,0.67,no_reinforcement,"strong_initial_pattern,pattern_antiquity",False,142,older_slower,925,T. Vells,behavioral_analysis,0.88,
MD-0016,spatial_imprint,,,0.323,0.075,676,0.5462,1.3,42.9,sparse,False,0.4,"dens_proximity,isolation,environmental_disruption,no_reinforcement",pattern_antiquity,True,124,complex,929,K. Strand,form_comparison,0.64,
MD-0017,behavioral_echo,,,0.417,0.371,813,0.0512,13.5,90.8,dense,True,0.7,,population_reinforcement,False,5,no_correlation,921,Quarry Guild Records,strength_estimation,0.56,
MD-0018,collective_memory,,,0.994,0.777,826,0.1034,6.7,189.8,isolated,True,0.37,"isolation,environmental_disruption","strong_initial_pattern,population_reinforcement,pattern_antiquity",False,188,no_correlation,921,Quarry Guild Records,strength_estimation,0.63,
MD-0019,behavioral_echo,,,0.458,0.339,804,0.1274,5.4,126.4,moderate,False,0.63,no_reinforcement,pattern_antiquity,False,118,no_correlation,932,T. Vells,behavioral_analysis,0.63,
MD-0020,collective_memory,Entity 129,,0.369,0.298,458,0.1559,4.4,166.1,dense,False,0.75,no_reinforcement,"stable_environment,pattern_antiquity",False,107,no_correlation,920,C. Vells,strength_estimation,0.73,
